genome,targets_fasta,n_loci
B764,/data/KasperHendriks/BrassiWood/WP1_BrassiToL/data/ref-at_orf_minus_trailing_STOP_codons_exons_binned_to_by_genes.fasta,764
A353,/data/KasperHendriks/BrassiWood/WP1_BrassiToL/data/A353_NewTargets_refgenome_minus_trailing_STOP_codons.fasta,353
