SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S3656	Rorippa benghalensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1173
6896_I	Rorippa bonariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1108
23Q77	Rorippa bonariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1183
6896_R	Rorippa bonariensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1219
S3658	Rorippa brachycarpa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1001
S2742	Rorippa burkartii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1177
23Q80	Rorippa caledonica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1081
23Q59	Rorippa caledonica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1139
S3043	Rorippa calycina	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1215
S3660	Rorippa cantoniensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1100
S3055	Rorippa clandestina	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1181
S4093	Rorippa cochlearioides	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1031
S3050	Rorippa columbiae	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1180
6896_AJ	Rorippa coxii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1093
6896_N	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1215
6896_BD	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1220
6896_BE	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1218
6896_AR	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		122
23Q78	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1120
6896_AQ	Rorippa cryptantha	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1212
S3542	Rorippa crystallina	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1219
S2058	Rorippa curvipes	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1149
S3755	Rorippa curvisiliqua	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1205
S2841	Rorippa cygnorum	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1222
S3180	Rorippa cygnorum	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1193
ANVB227	Rorippa daguanensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		
ANVB228	Rorippa daguanensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		
23Q57	Rorippa dictyosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1122
23Q79	Rorippa dictyosperma	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1122
S3184	Rorippa dietrichiana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1200
S2765	Rorippa divaricata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1223
S4511	Rorippa dogadovae	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1221
S3662	Rorippa dubia	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1095
SRR23501680	Rorippa dubia	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		
S4346	Rorippa elata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1186
23Q58	Rorippa elata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1120
R0275	Rorippa elata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1224
R0388	Rorippa elata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1225
S3174	Rorippa eustylis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		471
S2750	Rorippa gigantea	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1222
23Q61	Rorippa globosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1120
23Q60	Rorippa globosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1113
S3530	Rorippa hayanica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1215
