SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S4087	Physaria douglasii	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1144
S3161	Physaria eburniflora	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		853
S4066	Physaria engelmannii	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1170
S3094	Physaria eriocarpa	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1206
ERR2560524	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		173
ERR2560523	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		181
ERR2560525	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		177
ERR2560526	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		176
ERR2560528	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		208
ERR2560529	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		192
ERR2560522	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		188
S0723	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1163
ERR2560530	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		120
S0511	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1091
ERR2560527	Physaria fendleri	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		
S3130	Physaria filiformis	Brassicaceae	Physarieae	Camelinodae (I)	Physaria		1158
