ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Aethionema acarii	Aethionema acarii		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 34	ALB, BUL, EAI, GRC, TUR, YUG		EXACT	3051063	
Y	Brassicaceae	Aethionema alanyae	Aethionema alanyae		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3693801	
Y?	Brassicaceae	Aethionema alidaghenicum	Aethionema alidaghenicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10898121	
Y	Brassicaceae	Aethionema alpinum	Aethionema alpinum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		HIGHERRANK		
Y	Brassicaceae	Aethionema anatolicum	Aethionema anatolicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		FUZZY	10981489	Y
Y?	Brassicaceae	Aethionema annuum	Aethionema annuum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10722564	
Y?	Brassicaceae	Aethionema apetalum	Aethionema apetalum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10725767	
Y	Brassicaceae	Aethionema arabicum	Aethionema arabicum		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 33, 34	BUL, CYP, EAI, IRN, IRQ, LBS, TCS, TUE, TUR		EXACT	11167472	
Y	Brassicaceae	Aethionema armenum	Aethionema armenum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	LBS, TCS, TUR		EXACT	3051049	
Y	Brassicaceae	Aethionema aytachii	Aethionema aytachii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34, 35	LBS, TCS, TUR		EXACT	12252655	
Y	Brassicaceae	Aethionema balansae	Aethionema balansae		Aethionemoideae		Aethionemeae	Aethionema	H	1, 3	13, 34	ALB, BUL, EAI, GRC, TUR, YUG		EXACT	3051124	Y (corrected)
Y?	Brassicaceae	Aethionema bingoelicum	Aethionema bingoelicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10840820	
Y	Brassicaceae	Aethionema capitatum	Aethionema capitatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	LBS, TUR		EXACT	3051119	
Y	Brassicaceae	Aethionema carlsbergii	Aethionema carlsbergii		Aethionemoideae		Aethionemeae	Aethionema	H	1	13	GRC		EXACT	3051061	
Y	Brassicaceae	Aethionema carneum	Aethionema carneum		Aethionemoideae		Aethionemeae	Aethionema	H	3, 4	32, 33, 34, 35, 40	AFG, CYP, IRN, IRQ, KAZ, KGZ, LBS, PAK, PAL, SAU, SIN, TCS, TKM, TUR, TZK, UZB		EXACT	3051132	
Y	Brassicaceae	Aethionema cephalanthum	Aethionema cephalanthum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	3051075	
Y	Brassicaceae	Aethionema cordatum	Aethionema cordatum		Aethionemoideae		Aethionemeae	Aethionema	W	1, 2, 3	13, 20, 33, 34	GRC, IRN, LBS, MOR, TCS, TUR		EXACT	3051035	
Y	Brassicaceae	Aethionema coridifolium	Aethionema coridifolium		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	IRQ, LBS, TUR		EXACT	3051089	
Y	Brassicaceae	Aethionema demirizii	Aethionema demirizii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051146	
Y	Brassicaceae	Aethionema diastrophis	Aethionema diastrophis		Aethionemoideae		Aethionemeae	Aethionema	W	3	33	TCS		EXACT	3051052	
Y?	Brassicaceae	Aethionema dincii	Aethionema dincii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10875760	
Y?	Brassicaceae	Aethionema dincii subsp. baytopiae	Aethionema dincii	subsp. baytopiae	Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	10748178	
Y	Brassicaceae	Aethionema dincii subsp. dincii	Aethionema dincii	subsp. dincii	Aethionemoideae		Aethionemeae	Aethionema	H							
Y	Brassicaceae	Aethionema dumanii	Aethionema dumanii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3693666	
Y?	Brassicaceae	Aethionema dumelicum	Aethionema dumelicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10840316	
Y	Brassicaceae	Aethionema edentulum	Aethionema edentulum		Aethionemoideae		Aethionemeae	Aethionema	H	3	33, 34	IRN, TCS		EXACT	3051142	
Y	Brassicaceae	Aethionema erinaceum	Aethionema erinaceum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	IRN		EXACT	3693658	
Y?	Brassicaceae	Aethionema ertughrulii	Aethionema ertughrulii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10675160	
Y	Brassicaceae	Aethionema erzincanum	Aethionema erzincanum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10799041	
Y	Brassicaceae	Aethionema eunomioides	Aethionema eunomioides		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051140	
Y	Brassicaceae	Aethionema fimbriatum	Aethionema fimbriatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, IRQ, TCS, TUR		EXACT	3051080	
Y	Brassicaceae	Aethionema froedinii	Aethionema froedinii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRQ, TUR		EXACT	3051158	
Y	Brassicaceae	Aethionema fruticulosum	Aethionema fruticulosum		Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	3051092	
Y	Brassicaceae	Aethionema gileadense	Aethionema gileadense		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	LBS, PAL		EXACT	3051057	
Y	Brassicaceae	Aethionema grandiflorum	Aethionema grandiflorum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, IRQ, TCS, TUR		EXACT	3051147	
Y	Brassicaceae	Aethionema gypsicola	Aethionema gypsicola		Aethionemoideae		Aethionemeae	Aethionema	H			NA		EXACT	11899828	
Y	Brassicaceae	Aethionema heterocarpum	Aethionema heterocarpum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	LBS, PAL, TUR		EXACT	3051067	
Y	Brassicaceae	Aethionema huber-morathii	Aethionema huber-morathii		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051093	
Y	Brassicaceae	Aethionema karamanicum	Aethionema karamanicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3693589	
Y	Brassicaceae	Aethionema kilicii	Aethionema kilicii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10751417	
Y	Brassicaceae	Aethionema kopetdaghi	Aethionema kopetdaghi		Aethionemoideae		Aethionemeae	Aethionema	W	3	32	TKM		EXACT	3051129	
Y	Brassicaceae	Aethionema lepidioides	Aethionema lepidioides		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051072	
N	Brassicaceae	Aethionema levandowskyi	Aethionema levandowskyi		Aethionemoideae		Aethionemeae	Aethionema	H	3	33	TCS		EXACT	3051156	
Y	Brassicaceae	Aethionema lycium	Aethionema lycium		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051087	
Y	Brassicaceae	Aethionema maraschicum	Aethionema maraschicum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051163	
Y	Brassicaceae	Aethionema membranaceum	Aethionema membranaceum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, IRQ, TCS, TUR		EXACT	3051122	
Y	Brassicaceae	Aethionema munzurense	Aethionema munzurense		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051047	
Y	Brassicaceae	Aethionema orbiculatum	Aethionema orbiculatum		Aethionemoideae		Aethionemeae	Aethionema	W	1	13	GRC		EXACT	3051136	
Y?	Brassicaceae	Aethionema ozbekii	Aethionema ozbekii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10764068	
Y	Brassicaceae	Aethionema papillosum	Aethionema papillosum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051157	
Y	Brassicaceae	Aethionema retsina	Aethionema retsina		Aethionemoideae		Aethionemeae	Aethionema	?	1	13	GRC	N	EXACT	3051041	
Y	Brassicaceae	Aethionema rhodopaeum	Aethionema rhodopaeum		Aethionemoideae		Aethionemeae	Aethionema	H	1	13	BUL		EXACT	3051128	
Y	Brassicaceae	Aethionema sabzevaricum	Aethionema sabzevaricum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	8143543	
Y?	Brassicaceae	Aethionema sancakense	Aethionema sancakense		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	12200875	
Y	Brassicaceae	Aethionema saxatile	Aethionema saxatile		Aethionemoideae		Aethionemeae	Aethionema	W	1, 2, 3	11, 12, 13, 20, 34	ALB, ALG, AUT, BUL, CZE, EAI, FRA, GER, GRC, HUN, ITA, KRI, MOR, ROM, SAR, SIC, SPA, SWI, TUR, YUG		EXACT	7870683	
Y	Brassicaceae	Aethionema saxatile subsp. athoum	Aethionema saxatile	subsp. athoum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051098	
Y	Brassicaceae	Aethionema saxatile subsp. corinthiacum	Aethionema saxatile	subsp. corinthiacum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	10805535	
Y	Brassicaceae	Aethionema saxatile subsp. creticum	Aethionema saxatile	subsp. creticum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051115	
Y	Brassicaceae	Aethionema saxatile subsp. graecum	Aethionema saxatile	subsp. graecum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051096	
Y	Brassicaceae	Aethionema saxatile subsp. ovalifolium	Aethionema saxatile	subsp. ovalifolium	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051105	
Y	Brassicaceae	Aethionema saxatile subsp. saxatile	Aethionema saxatile	subsp. saxatile	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	7225689	
Y	Brassicaceae	Aethionema saxatile subsp. scopulorum	Aethionema saxatile	subsp. scopulorum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051095	
Y	Brassicaceae	Aethionema schistosum	Aethionema schistosum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051034	
Y	Brassicaceae	Aethionema semnanensis	Aethionema semnanensis		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	3051139	
Y	Brassicaceae	Aethionema sintenisii	Aethionema sintenisii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051048	
Y	Brassicaceae	Aethionema speciosum	Aethionema speciosum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	IRQ, TUR		EXACT	3051058	
Y	Brassicaceae	Aethionema speciosum subsp. compactum	Aethionema speciosum	subsp. compactum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051060	
Y	Brassicaceae	Aethionema speciosum subsp. speciosum	Aethionema speciosum	subsp. speciosum	Aethionemoideae		Aethionemeae	Aethionema	W			NA		EXACT	3051059	
Y	Brassicaceae	Aethionema spicatum	Aethionema spicatum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	LBS, TUR		EXACT	3051164	
Y	Brassicaceae	Aethionema spinosum	Aethionema spinosum		Aethionemoideae		Aethionemeae	Aethionema	W	3	32, 34	AFG, IRN, TKM		EXACT	8156416	
Y	Brassicaceae	Aethionema stenopterum	Aethionema stenopterum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	3051054	
Y	Brassicaceae	Aethionema stylosum	Aethionema stylosum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	LBS, TUR		EXACT	3051042	
Y	Brassicaceae	Aethionema subulatum	Aethionema subulatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		EXACT	3051055	
Y	Brassicaceae	Aethionema syriacum	Aethionema syriacum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRQ, LBS, TUR		EXACT	3051064	
Y	Brassicaceae	Aethionema thesiifolium	Aethionema thesiifolium		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	3051088	
Y	Brassicaceae	Aethionema thomasianum	Aethionema thomasianum		Aethionemoideae		Aethionemeae	Aethionema	H	1, 2	12, 13, 20	ALG, FRA, ITA, SPA		EXACT	3051121	
Y	Brassicaceae	Aethionema transhyrcanum	Aethionema transhyrcanum		Aethionemoideae		Aethionemeae	Aethionema	W	3	32	TKM		EXACT	3051130	
Y?	Brassicaceae	Aethionema turanicum	Aethionema turanicum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10783084	
Y	Brassicaceae	Aethionema turcicum	Aethionema turcicum		Aethionemoideae		Aethionemeae	Aethionema	W	3	34	TUR		FUZZY	3693334	Y
Y	Brassicaceae	Aethionema umbellatum	Aethionema umbellatum		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	IRN		EXACT	3051068	
Y	Brassicaceae	Aethionema virgatum	Aethionema virgatum		Aethionemoideae		Aethionemeae	Aethionema	W	3	33, 34	IRN, TCS		EXACT	3051082	
Y	Brassicaceae	Aethionema yildirimlii	Aethionema yildirimlii		Aethionemoideae		Aethionemeae	Aethionema	H	3	34	TUR		EXACT	10824494	
Y	Brassicaceae	Aethionema zagricum	Aethionema zagricum		Aethionemoideae		Aethionemeae	Aethionema	H			NA		HIGHERRANK		
Y	Brassicaceae	Acuston lunarioides	Acuston lunarioides		Brassicoideae	Arabodae (IV)	Alysseae	Acuston	H	1, 3	13, 34	EAI, GRC, KRI		EXACT	10902918	
Y	Brassicaceae	Acuston petalodes	Acuston petalodes		Brassicoideae	Arabodae (IV)	Alysseae	Acuston	H	3	34	LBS, PAL		EXACT	12177207	
Y	Brassicaceae	Alyssoides utriculata	Alyssoides utriculata		Brassicoideae	Arabodae (IV)	Alysseae	Alyssoides	H	1, 3	11, 12, 13, 33, 34	ALB, BUL, FRA, GRC, ITA, NCS, ROM, SWI, TCS, TUR, YUG		EXACT	3050529	
Y	Brassicaceae	Alyssoides utriculata subsp. bulgarica	Alyssoides utriculata	subsp. bulgarica	Brassicoideae	Arabodae (IV)	Alysseae	Alyssoides	H			NA		EXACT	3693056	
Y	Brassicaceae	Alyssoides utriculata subsp. utriculata	Alyssoides utriculata	subsp. utriculata	Brassicoideae	Arabodae (IV)	Alysseae	Alyssoides	H							
Y	Brassicaceae	Alyssum aizoides	Alyssum aizoides		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, TUR		EXACT	3044888	
Y	Brassicaceae	Alyssum alyssoides	Alyssum alyssoides		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 2, 3	11, 12, 13, 14, 20, 32, 33, 34	AFG, ALB, AUT, BGM, BLR, BLT, BUL, COR, CYP, CZE, FRA, GER, GRC, HUN, IRN, ITA, KAZ, KGZ, KRY, LBS, MOR, NCS, NET, POL, POR, ROM, RUC, RUE, RUS, SAR, SPA, SWI, TCS, TKM, TUE, TUR, TZK, UKR, UZB, YUG		EXACT	3044855	
Y	Brassicaceae	Alyssum amasianum	Alyssum amasianum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	10834079	
Y	Brassicaceae	Alyssum andinum	Alyssum andinum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	33	NCS, TCS		EXACT	3044969	
Y	Brassicaceae	Alyssum argyrophyllum	Alyssum argyrophyllum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	3044780	
Y	Brassicaceae	Alyssum armenum	Alyssum armenum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	33, 34	TCS, TUR		EXACT	3045077	
Y	Brassicaceae	Alyssum artwinense	Alyssum artwinense		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	3045105	
Y	Brassicaceae	Alyssum atlanticum	Alyssum atlanticum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	MOR		EXACT	3045094	
Y	Brassicaceae	Alyssum aurantiacum	Alyssum aurantiacum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	3045093	
Y	Brassicaceae	Alyssum austrodalmaticum	Alyssum austrodalmaticum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	ITA, YUG		EXACT	3045147	
Y	Brassicaceae	Alyssum bargalense	Alyssum bargalense		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	3045202	
Y	Brassicaceae	Alyssum baumgartnerianum	Alyssum baumgartnerianum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, IRQ, LBS, TUR		EXACT	3044748	
Y	Brassicaceae	Alyssum blancheanum	Alyssum blancheanum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	LBS		EXACT	3044781	
Y	Brassicaceae	Alyssum bornmuelleri	Alyssum bornmuelleri		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3	34	TUR		EXACT	3044801	
Y	Brassicaceae	Alyssum bosniacum	Alyssum bosniacum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	YUG		EXACT	3044895	
Y	Brassicaceae	Alyssum brughieri	Alyssum brughieri		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	7771999	
Y	Brassicaceae	Alyssum bulbotrichum	Alyssum bulbotrichum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	3044808	
Y	Brassicaceae	Alyssum cacuminum	Alyssum cacuminum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12	SPA		EXACT	9500042	
Y	Brassicaceae	Alyssum caespitosum	Alyssum caespitosum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3	34	TUR		EXACT	3044774	
Y	Brassicaceae	Alyssum calycocarpum	Alyssum calycocarpum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3	14, 33, 34	IRN, KRY, TCS, TUR		EXACT	3044761	
Y	Brassicaceae	Alyssum cephalotes	Alyssum cephalotes		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	3044827	
Y	Brassicaceae	Alyssum clausonis	Alyssum clausonis		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	MOR		EXACT	3044887	
Y	Brassicaceae	Alyssum cognense	Alyssum cognense		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		HIGHERRANK	3044728	
Y	Brassicaceae	Alyssum collinum	Alyssum collinum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 2, 3	12, 20, 34	ALG, EGY, IRQ, LBY, MOR, PAL, POR, SPA, TUN		HIGHERRANK		
Y	Brassicaceae	Alyssum contemptum	Alyssum contemptum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, IRQ, LBS, TUR		EXACT	3044998	
Y	Brassicaceae	Alyssum corningii	Alyssum corningii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, TUR		EXACT	3044978	
Y	Brassicaceae	Alyssum cuneifolium	Alyssum cuneifolium		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12, 13	FRA, GRC, ITA, SPA		EXACT	3045100	
Y	Brassicaceae	Alyssum dagestanicum	Alyssum dagestanicum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	33	NCS, TCS		EXACT	3692322	
Y	Brassicaceae	Alyssum damascenum	Alyssum damascenum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34, 35	LBS, PAL, SAU		EXACT	3045156	
Y	Brassicaceae	Alyssum dasycarpum	Alyssum dasycarpum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3, 4	14, 30, 32, 33, 34, 36, 40	AFG, ALT, CHX, IRN, IRQ, KAZ, KGZ, LBS, PAK, PAL, RUE, RUS, TCS, TKM, TUR, TZK, UZB		EXACT	8215381	
Y	Brassicaceae	Alyssum decoloratum	Alyssum decoloratum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	MOR		EXACT	3045168	
Y	Brassicaceae	Alyssum diffusum	Alyssum diffusum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12, 13	FRA, ITA, SPA		EXACT	3044731	
Y	Brassicaceae	Alyssum diffusum subsp. calabricum	Alyssum diffusum	subsp. calabricum	Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	10711986	
Y	Brassicaceae	Alyssum diffusum subsp. diffusum	Alyssum diffusum	subsp. diffusum	Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H							
Y	Brassicaceae	Alyssum diffusum subsp. garganicum	Alyssum diffusum	subsp. garganicum	Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	10887550	
Y	Brassicaceae	Alyssum djurdjurae	Alyssum djurdjurae		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 2	12, 20	ALG, FRA, MOR, POR, SPA, TUN		EXACT	3044785	
Y	Brassicaceae	Alyssum doerfleri	Alyssum doerfleri		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	GRC, ITA, YUG		EXACT	3044800	
Y	Brassicaceae	Alyssum emarginatum	Alyssum emarginatum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	GRC		EXACT	3044791	
Y	Brassicaceae	Alyssum embergeri	Alyssum embergeri		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	MOR		EXACT	3044809	
Y	Brassicaceae	Alyssum erosulum	Alyssum erosulum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3	34	TUR		EXACT	3044886	
Y	Brassicaceae	Alyssum fastigiatum	Alyssum fastigiatum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12	SPA		EXACT	3044918	
Y	Brassicaceae	Alyssum flahaultianum	Alyssum flahaultianum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	MOR		EXACT	3044941	
Y	Brassicaceae	Alyssum flexicaule	Alyssum flexicaule		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12	FRA		EXACT	3692027	
Y	Brassicaceae	Alyssum foliosum	Alyssum foliosum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3	13, 34	CYP, EAI, GRC, KRI, TUE, TUR		EXACT	3045054	
Y	Brassicaceae	Alyssum fulvescens	Alyssum fulvescens		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3	13, 34	CYP, GRC, TUR		EXACT	3044972	
Y	Brassicaceae	Alyssum gallaecicum	Alyssum gallaecicum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12	SPA		EXACT	10810737	
Y	Brassicaceae	Alyssum gmelinii	Alyssum gmelinii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	11, 13, 14	ALB, AUT, BLR, BLT, BUL, CZE, GER, GRC, HUN, KRY, POL, ROM, RUC, RUS, UKR, YUG		EXACT	3044931	
Y	Brassicaceae	Alyssum granatense	Alyssum granatense		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 2	12, 20	ALG, LBY, MOR, POR, SPA, TUN		EXACT	3045178	
Y	Brassicaceae	Alyssum gustavssonii	Alyssum gustavssonii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	GRC		EXACT	3045215	
Y	Brassicaceae	Alyssum hajastanum	Alyssum hajastanum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	33	TCS		EXACT	3045209	
Y	Brassicaceae	Alyssum handelii	Alyssum handelii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	GRC	N	EXACT	3044742	
Y	Brassicaceae	Alyssum harputicum	Alyssum harputicum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, TUR		EXACT	3044759	
Y	Brassicaceae	Alyssum hirsutum	Alyssum hirsutum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3	13, 14, 32, 33, 34	BUL, IRN, KRY, NCS, ROM, RUC, RUE, RUS, TCS, TKM, TUE, TUR, UKR, YUG		EXACT	3045006	
Y	Brassicaceae	Alyssum hirsutum subsp. caespitosum	Alyssum hirsutum	subsp. caespitosum	Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	3045008	
Y	Brassicaceae	Alyssum hirsutum subsp. hirsutum	Alyssum hirsutum	subsp. hirsutum	Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H			NA		EXACT	7225615	
Y	Brassicaceae	Alyssum idaeum	Alyssum idaeum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	13	KRI	Y	EXACT	3045004	
Y	Brassicaceae	Alyssum iljinskajae	Alyssum iljinskajae		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	14	UKR		FUZZY	3691751	Y
Y	Brassicaceae	Alyssum iranicum	Alyssum iranicum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	32, 34	IRN, LBS, PAL, TKM, TUR		EXACT	7493123	
Y	Brassicaceae	Alyssum kaynakiae	Alyssum kaynakiae		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	TUR		EXACT	10680459	
Y	Brassicaceae	Alyssum kotovii	Alyssum kotovii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1, 3	11, 13, 14, 33, 34	ALB, AUT, BUL, IRN, KRY, LBS, NCS, PAL, ROM, YUG		EXACT	3044820	
Y	Brassicaceae	Alyssum lanceolatum	Alyssum lanceolatum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3, 4	32, 34, 40	AFG, IRN, PAK, TKM		EXACT	3045025	
Y	Brassicaceae	Alyssum lenense	Alyssum lenense		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	1, 3	14, 30, 32, 36, 37	ALT, BRY, CHI, CHM, CHN, CHX, CTA, IRK, KAZ, KRA, MON, RUC, RUE, RUS, TVA, UKR, WSB, YAK		EXACT	3045096	
Y	Brassicaceae	Alyssum lepidoto-stellatum	Alyssum lepidoto-stellatum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	3	34	IRN, IRQ, TUR		EXACT	3045133	
Y	Brassicaceae	Alyssum lepidotum	Alyssum lepidotum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3	34	TUR		EXACT	3045154	
Y	Brassicaceae	Alyssum loiseleurii	Alyssum loiseleurii		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	1	12	FRA, SPA		EXACT	3044795	
Y	Brassicaceae	Alyssum lycaonicum	Alyssum lycaonicum		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	W	3	34	IRN, TUR		EXACT	3044782	
Y	Brassicaceae	Alyssum macrocalyx	Alyssum macrocalyx		Brassicoideae	Arabodae (IV)	Alysseae	Alyssum	H	2	20	ALG, MOR		EXACT	3044798	
