ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Cardamine forsteri	Cardamine forsteri		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	51	CTM, NZN, NZS	N	EXACT	3692508	
Y	Brassicaceae	Cardamine fragariifolia	Cardamine fragariifolia		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3, 4	36, 40, 41	CHC, CHS, CHT, EHM, MYA		EXACT	3045658	
Y	Brassicaceae	Cardamine franchetiana	Cardamine franchetiana		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC, CHQ, CHT		EXACT	3045922	
Y	Brassicaceae	Cardamine franklinensis	Cardamine franklinensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	5	50	NSW, TAS, VIC		EXACT	3692483	
Y	Brassicaceae	Cardamine fulcrata	Cardamine fulcrata		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7, 8	79, 80, 82, 83	CLM, COS, GUA, HON, MXC, MXG, MXS, MXT, PAN, VEN		EXACT	3046057	
Y	Brassicaceae	Cardamine fulcrata var. fulcrata	Cardamine fulcrata	var. fulcrata	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		EXACT	7068658	
Y	Brassicaceae	Cardamine fulcrata var. scabra	Cardamine fulcrata	var. scabra	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		EXACT	3046059	
Y	Brassicaceae	Cardamine gallaecica	Cardamine gallaecica		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	12	SPA		EXACT	3046124	
Y	Brassicaceae	Cardamine geraniifolia	Cardamine geraniifolia		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8	85	AGS, CLS		EXACT	3045919	
Y	Brassicaceae	Cardamine glacialis	Cardamine glacialis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	8, 9	85, 90	AGS, CLS, FAL, KEG, TDC		EXACT	3045890	
Y	Brassicaceae	Cardamine glanduligera	Cardamine glanduligera		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1	11, 13, 14	CZE, HUN, POL, ROM, UKR, YUG		EXACT	3045875	
Y	Brassicaceae	Cardamine glanduligera subsp. glanduligera	Cardamine glanduligera	subsp. glanduligera	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H							
Y	Brassicaceae	Cardamine glanduligera subsp. sibirica	Cardamine glanduligera	subsp. sibirica	Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		HIGHERRANK		
