rank	clade	n_tips	crown_node	crown_age_Ma	crown_q1	crown_pp1	crown_gCF	crown_sCF	stem_node	stem_age_Ma	stem_q1	stem_pp1	stem_gCF	stem_sCF
TRIBE	Megacarpaeeae	2	3378	17.124987	0.432598	1	0	35	3285	26.189147	0.387658	0.995525	2.17	33.7
TRIBE	Microlepidieae	56	3984	11.5558917	0.473699	1	1.13	48.9	3983	14.3779517	0.489544	1	0.856	49
TRIBE	Notothlaspideae	1	100	2.10E-04	NA	NA	NA	NA	3111	24.92691	0.513564	1	5.11	39
TRIBE	Oreophytoneae	2	4189	1.6981617	0.941707	1	86.5	88.4	4182	12.0190617	0.604278	1	13.4	44.8
TRIBE	Physarieae	124	4190	16.0585017	0.930467	1	84.5	80.2	3982	17.1414817	0.395042	0.998576	1.24	35.6
TRIBE	Plagiolobeae	1	861	2.03E-04	NA	NA	NA	NA	3870	14.044503	0.684544	1	26.1	44
TRIBE	Schizopetaleae	16	3258	13.543696	0.377429	0.896891	11.1	29.9	3239	16.764806	0.360208	0.732934	1.15	35.3
TRIBE	Schrenkielleae	1	717	1.84E-04	NA	NA	NA	NA	3385	17.054384	0.810682	1	12.5	50.1
TRIBE	Shehbazieae	1	2823	1.10E-04	NA	NA	NA	NA	5928	11.28311	0.798063	1	61.2	60.3
TRIBE	Sisymbrieae	5	3573	8.788377	0.837835	1	35.8	50.9	3390	10.723907	0.434394	0.999988	0.414	41
TRIBE	Smelowskieae	1	1433	1.32E-04	NA	NA	NA	NA	4543	12.3986317	0.498198	1	1.79	42.3
TRIBE	Stevenieae	9	5061	13.07817	0.873783	1	81.3	84.9	3976	21.50649	0.53461	1	1.46	40.4
TRIBE	Subularieae	2	3210	25.567696	0.368848	0.835647	2.52	30.8	3110	26.39126	0.970209	1	91.6	85.9
TRIBE	Thelypodieae	184	3389	11.885717	0.357796	0.289647	0.517	41.8	3388	14.982987	0.62066	1	2.5	62
TRIBE	Thlaspideae	37	3831	13.950084	0.925576	1	57.1	69.7	3830	17.423304	0.538334	1	18	41.3
TRIBE	Turritideae	1	1068	2.02E-04	NA	NA	NA	NA	4183	10.6812017	0.455011	1	11.7	37.6
TRIBE	Unplaced	8	3107	26.79415	0.688802	1	42.3	49	3106	26.80415	0.463397	1	4.09	36.5
TRIBE	Yinshanieae	1	1432	1.32E-04	NA	NA	NA	NA	4543	12.3986317	0.498198	1	1.79	42.3
