parent,node,branch.length,label,CI_date,CI_height,date,q1,pp1,gCF,sCF,isTip,age_Ma,q1_num,pp1_num,gCF_num,sCF_num
3742,3756,0.618757,NA,,,-4.69612,0.48883,1,14,44.5,FALSE,4.696279999999945,0.48883,1,14,44.5
3756,3757,0.745048,NA,,,-3.95108,0.382143,0.888047,9.23,37.3,FALSE,3.9512319999999477,0.382143,0.888047,9.23,37.3
3757,3758,0.638342,NA,,,-3.31273,0.453983,1,9.59,41.6,FALSE,3.3128899999999533,0.453983,1,9.59,41.6
3758,3759,0.862539,NA,,,-2.4502,0.674408,1,32,55.7,FALSE,2.450350999999955,0.674408,1,32,55.7
3741,3760,5.07,NA,,,-2.64914,0.380919,0.950981,10.1,41.8,FALSE,2.6492869999999584,0.380919,0.950981,10.1,41.8
3740,3761,1.93925,NA,,,-9.3318,0.476516,1,16.7,41.5,FALSE,9.331956999999946,0.476516,1,16.7,41.5
3761,3762,5.14511,NA,,,-4.1867,0.807333,1,49,76.4,FALSE,4.186846999999943,0.807333,1,49,76.4
3762,3763,0.681475,NA,,,-3.50522,0.440152,0.999955,14.3,36.9,FALSE,3.5053719999999373,0.440152,0.999955,14.3,36.9
3763,3764,0.01,NA,,,-3.49522,0.409978,0.998911,4.38,29.5,FALSE,3.495371999999932,0.409978,0.998911,4.38,29.5
3764,3765,0.01,NA,,,-3.48522,0.505885,1,8.64,53.2,FALSE,3.485371999999927,0.505885,1,8.64,53.2
3765,3766,0.01,NA,,,-3.47522,0.399393,0.993443,10.2,44.7,FALSE,3.475371999999922,0.399393,0.993443,10.2,44.7
3766,3767,1.10374,NA,,,-2.37148,0.36225,0.877658,1.1,32.2,FALSE,2.37163199999992,0.36225,0.877658,1.1,32.2
3766,3768,0.01,NA,,,-3.46522,0.415572,0.906933,10.1,26.1,FALSE,3.465371999999917,0.415572,0.906933,10.1,26.1
3768,3769,1.01088,NA,,,-2.45434,0.522112,0.999999,5.53,67,FALSE,2.4544919999999166,0.522112,0.999999,5.53,67
3769,3770,0.663074,NA,,,-1.79127,0.499191,1,11.3,51.7,FALSE,1.791417999999922,0.499191,1,11.3,51.7
3770,3771,0.465255,NA,,,-1.32601,0.35746,0.657007,0.654,44.4,FALSE,1.326162999999923,0.35746,0.657007,0.654,44.4
3765,3772,0.501649,NA,,,-2.98357,0.408886,0.999881,2.72,37,FALSE,2.9837229999999266,0.408886,0.999881,2.72,37
3772,3773,0.808986,NA,,,-2.17459,0.466096,1,10.7,47.8,FALSE,2.174736999999922,0.466096,1,10.7,47.8
3761,3774,2.84099,NA,,,-6.49081,0.63554600000000006,1,33.1,56.7,FALSE,6.490966999999941,0.63554600000000006,1,33.1,56.7
3774,3775,1.69607,NA,,,-4.79474,0.611861,1,37.6,49.6,FALSE,4.794896999999935,0.611861,1,37.6,49.6
3585,3776,3.71772,NA,,,-12.1873,0.819232,1,50.8,79.3,FALSE,12.187426999999957,0.819232,1,50.8,79.3
3776,3777,1.37771,NA,,,-10.8096,0.44172,1,9.35,40,FALSE,10.809716999999964,0.44172,1,9.35,40
3777,3778,2.78513,NA,,,-8.02443,0.570187,1,4.43,46.7,FALSE,8.024586999999968,0.570187,1,4.43,46.7
3776,3779,1.74149,NA,,,-10.4458,0.413036,0.999993,4.49,38.6,FALSE,10.445936999999958,0.413036,0.999993,4.49,38.6
3779,3780,0.163396,NA,,,-10.2824,0.327785,1.26e-4,3.54,33,FALSE,10.282540999999952,0.327785,1.26e-4,3.54,33
3780,3781,2.73942,NA,,,-7.54297,0.623698,1,29.2,53.4,FALSE,7.543120999999957,0.623698,1,29.2,53.4
3780,3782,3.20032,NA,,,-7.08207,0.757185,1,25.5,62.2,FALSE,7.082220999999947,0.757185,1,25.5,62.2
3782,3783,0.419623,NA,,,-6.66245,0.437214,0.999364,14.9,37.8,FALSE,6.662597999999946,0.437214,0.999364,14.9,37.8
3783,3784,0.500502,NA,,,-6.16194,0.474275,1,5.88,45.8,FALSE,6.1620959999999485,0.474275,1,5.88,45.8
3784,3785,0.345972,NA,,,-5.81597,0.347876,0.589931,2.7,32.8,FALSE,5.816123999999945,0.347876,0.589931,2.7,32.8
3785,3786,0.980923,NA,,,-4.83505,0.52678,1,18.7,40.6,FALSE,4.835200999999941,0.52678,1,18.7,40.6
3786,3787,2.38982,NA,,,-2.44523,0.807392,1,51.7,69.2,FALSE,2.4453809999999407,0.807392,1,51.7,69.2
3787,3788,0.54886,NA,,,-1.8963699999999999,0.651403,1,29.9,51.2,FALSE,1.896520999999936,0.651403,1,29.9,51.2
3788,3789,0.771159,NA,,,-1.12521,0.580371,1,27.7,49.8,FALSE,1.1253619999999387,0.580371,1,27.7,49.8
3787,3790,0.508133,NA,,,-1.9371,0.427171,0.999936,19.4,41.1,FALSE,1.93724799999994,0.427171,0.999936,19.4,41.1
3784,3791,1.64665,NA,,,-4.5153,0.489416,1,9.64,48.7,FALSE,4.5154459999999546,0.489416,1,9.64,48.7
3791,3792,0.721955,NA,,,-3.79334,0.39035,0.978872,9.24,35.8,FALSE,3.7934909999999604,0.39035,0.978872,9.24,35.8
3792,3793,0.990953,NA,,,-2.80239,0.381296,0.976805,13.2,42.5,FALSE,2.802537999999956,0.381296,0.976805,13.2,42.5
3782,3794,5.22176,NA,,,-1.86031,0.628786,1,34.5,56.2,FALSE,1.860460999999944,0.628786,1,34.5,56.2
3583,3795,0.43189,NA,,,-15.4931,0.683381,1,45.5,55.7,FALSE,15.493256999999971,0.683381,1,45.5,55.7
3795,3796,0.550712,NA,,,-14.9424,0.372714,0.96829,2.08,36.7,FALSE,14.942544999999967,0.372714,0.96829,2.08,36.7
3796,3797,0.01,NA,,,-14.9324,0.350488,0.047312,2.53,34.6,FALSE,14.932544999999962,0.350488,0.047312,2.53,34.6
3797,3798,0.880737,NA,,,-14.0517,0.401747,0.999513,10.3,38.5,FALSE,14.051807999999966,0.401747,0.999513,10.3,38.5
3798,3799,10.8173,NA,,,-3.23437,0.392187,0.999599,1.31,34.6,FALSE,3.2345079999999626,0.392187,0.999599,1.31,34.6
3795,3800,6.25489,NA,,,-9.23821,0.775602,1,44.5,65.5,FALSE,9.238366999999968,0.775602,1,44.5,65.5
3800,3801,3.12898,NA,,,-6.10923,0.628244,1,38.8,52.2,FALSE,6.10938699999997,0.628244,1,38.8,52.2
3800,3802,3.6138,NA,,,-5.6244,0.883697,1,79.1,84.5,FALSE,5.624566999999971,0.883697,1,79.1,84.5
3582,3803,5.26143,NA,,,-10.6736,0.753911,1,41.2,58.3,FALSE,10.673716999999968,0.753911,1,41.2,58.3
3803,3804,2.56257,NA,,,-8.11099,0.431883,0.939591,26.5,37.6,FALSE,8.111146999999974,0.431883,0.939591,26.5,37.6
3804,3805,3.03828,NA,,,-5.07271,0.639835,1,36.1,59.4,FALSE,5.072866999999974,0.639835,1,36.1,59.4
3805,3806,0.368088,NA,,,-4.70462,0.351626,0.184049,8.3,32.1,FALSE,4.704778999999974,0.351626,0.184049,8.3,32.1
3806,3807,1.81992,NA,,,-2.88471,0.709943,1,34.4,58.9,FALSE,2.8848589999999774,0.709943,1,34.4,58.9
3806,3808,2.07947,NA,,,-2.62515,0.643944,1,37.9,60.1,FALSE,2.625308999999973,0.643944,1,37.9,60.1
