rank,clade,node,n_focal_tips,n_total_tips,fraction,focal_samples,component_id,plot_label,plot_this
TRIBE,Brassiceae,3578,248,248,1,SRR8528386; S0373; S1666; S1968; S2055; S1017; S1325; S2001; S4174; S3565; 23R11; S2554; S3274; 23R12; 23Q41; 23Q06; RB360; S0663; 23Q40; S3694; S3434; S0313; S3716; S2696; S1953; 23R06; S1001; 23Q42; S0851; 23Q46; S0980; S0978; S0981; S3444; S0993; S1003; 23R46; S2052; S3449; S0662; S2188; S2184; S0331; S1183; S3812; S1218; S1877; 23Q66; 23Q52; S3814; S3476; S2042; 23Q65; S1219; 23R29; S2050; S4303; S0317; 23Q51; S4305; 23Q11; 23Q43; 23Q44; S0897; S4027; S3487; S2044; S2197; S3343; S3613; S0544; S0467; S0377; S1507; S0587; S1026; S1996; RB36; S3460; S1967; S0323; 23Q10; S2209; 23R40; S3852; S1421; S0660; S3723; S2398; S1969; S0752; S3868; S3362; S3375; S3370; S3529; S0667; S3883; S2400; S3616; SRR14525677; S1224; S1516; S0868; S3367; S1207; 23Q94; ERR2560444; S3357; S0590; S1894; S4192; 23R15; S0583; S0747; S1311; S0992; SRR2050307; SRR24128551; S0548; S0869; S1228; S4353; S0914; S3280; S1220; S3337; S0919; SRR24208602; SRR24208603; SRR24208605; S1208; SRR23282481; ERR9941677; 23R25; S0912; S1185; S3378; S3354; 23Q37; 23R51; S1401; S1569; 23R65; S3720; S0817; S2556; S0617; S0650; S3928; S1314; S1312; 23R16; S1568; S0668; S0991; ERR4880718; NB10; 23R17; S2647; S4333; S2642; S2668; 23R20; S4337; NB1; S1866; NB4; NB9; S0731; NB3; S4335; S3951; S2707; S2575; 23R42; S1310; 23Q39; S0699; 23R26; S0698; S0702; ODN163; S0711; S0715; S1307; S1892; S1555; S0714; S0570; ODN61; S0924; NB2; S4134; S3258; S3292; S0305; S1021; S1994; S0726; S2251; S3532; S2051; S4357; S3911; S3854; SRR1801313; S0743; S0315; S2388; S2383; S2023; S0664; S2019; S0380; S1339; S1221; S0385; S3751; S2392; S1331; S1037; S1442; S0669; S1458; S1265; S0772; S1506; S1309; S0954; S0431; S0464; S1168; S0297; S0768; S1508; S1493; S0371; S0988; S0916; S1270; S1212; S1298; SRR6441723; S3993; SRR18885251; LaiQ176P4; LaiQ184P1,1,Brassiceae,TRUE
TRIBE,Calepineae,3867,3,3,1,S1238; S0312; S0757,1,Calepineae,TRUE
TRIBE,Camelineae,4123,4,4,1,S0641; S1204; S0670; S0718,1,Camelineae,TRUE
TRIBE,Cardamineae,4827,235,235,1,S0904; S3709; S2366; S1881; S0593; S2747; S3849; S3411; S3423; S2269; S3627; S3603; S3711; S3594; S3622; S3620; S2299; S3901; SRR9089893; S2362; S3596; S2365; S3031; S3915; S2273; S3677; S2964; S2981; S2324; S3725; S2328; S2455; S2724; S2355; SRR11977919; S3659; S2358; S3655; S4324; S3806; S2447; S3681; SRR23340319; S2359; S3893; SRR3506501; S4123; S3178; S3281; S3265; S3228; S2353; S3268; S2897; S3206; S3225; S3234; S3212; S2326; S3247; S3950; S3978; S3177; S3199; S2756; S3275; S3250; S2357; S3214; S3262; S3208; S3278; S3271; S3238; S3259; S3287; S3244; S3241; S3163; S3203; S3253; S3166; S3237; S2903; S3186; S1209; S3188; S3190; S2894; S3219; S3231; S3169; S3210; S3256; S3980; S3171; S3661; S3974; S3481; S3486; S2718; S3008; S4322; S2994; S2704; S4328; S3084; S3095; S3847; S2330; S3653; S2947; S3804; S3727; S3105; S3830; S2923; S2351; S3802; S2937; SRR14870005; S2969; S2360; S3454; S2961; S2350; S4097; S2920; SRR22401985; S4095; S2943; S3005; S2332; S4178; S2951; S3442; S3798; S3960; S4119; S4014; S4128; S2436; S3729; S3290; SRR10230721; S2276; S3822; S3923; S2931; S3038; S3701; S4344; S3851; S3867; S4121; S3399; S2334; S3041; S3687; S3820; S3416; S4075; S3663; S3026; S4071; S3339; S3891; S4077; S2442; S3919; S3976; S3873; S3389; S2833; S2829; S4079; S4255; S3350; S0733; S3685; S3772; S3679; S3871; S2316; S2570; S2989; S4318; S4125; S4176; S4000; S3683; S3796; S3503; S4103; S1898; S4073; S2354; S2744; S3956; S3982; S3952; S2661; S2914; S2486; S3800; S3705; S2731; ERR4221768; S2047; S3897; S3046; S2291; S3826; S3015; S3108; S3958; S3057; S3075; S2363; S2348; S2295; S3853; S3828; S2367; S2850; S0427; SRR8528391; S1625; S0376; S0672; S0398; S0893; S1276; S0671; S0298,1,Cardamineae,TRUE
TRIBE,Chorisporeae,5929,57,57,1,S1245; S1624; S0894; S2752; S2438; S2651; S2561; S2605; S0675; S1244; S2473; S4193; S1242; S4191; S4083; S3382; S2584; S2617; S1288; S1246; S0674; S1243; S2711; S3306; S4153; S1247; S4265; S2654; S2612; S2678; S2119; S2674; S2615; S2625; S2716; S0468; S1864; S1948; S2659; S2123; S2628; S2702; S2683; S1863; S1539; S0673; S2094; S2124; S3436; SRR8528370; S4258; S2103; S4288; S4026; S4247; S4286; S4283,1,Chorisporeae,TRUE
TRIBE,Coluteocarpeae,3871,102,102,1,S2189; S3489; S2120; S4269; S2805; S2650; S2395; S2122; S3578; S2498; S3417; S3409; S3837; S4298; S3478; S2242; S2456; S3069; S2121; S3233; S3252; S3230; S3082; S2127; S4340; S2441; S2627; S3240; S2126; S3508; S4104; S2199; S2168; S0552; S3295; S2129; S2378; S3567; S2202; S2172; S2003; S3569; S3523; S3506; S3835; S3575; S3412; S2206; S4262; S2820; S2817; S2393; S2204; S2789; S4276; ERR2560538; S3328; S2246; S2116; S2784; S4238; S0758; SRR8528348; S2780; S4347; S4216; S1472; S0964; S3829; S2170; S2767; S2118; S3576; S2825; S2794; S0956; S0960; S2808; S2811; S2235; S2814; S2260; S2494; S2798; ERR3822209; S3920; S0959; S2130; S2657; S1189; S0646; S2165; S0771; S4260; S3243; S1129; S2801; S0469; S0677; S1015; S1955; S1128,1,Coluteocarpeae,TRUE
TRIBE,Cremolobeae,3240,19,19,1,S1093; SRR8528364; S1035; S0678; S1102; S4120; S2082; S0330; S0273; S1092; S1949; S3068; S2077; S0753; S4115; S3403; S2075; S2205; S2435,1,Cremolobeae,TRUE
TRIBE,Descurainieae,4544,44,44,1,S0412; S0742; S1275; S2187; S2485; S2022; S2007; S2180; S2457; S0579; S1034; S2938; S2437; S2477; S2985; 23Q62; S1019; S2183; 23Q48; S3017; S3902; S1005; SRR4128966; S0864; S2016; S3858; 23R38; S2449; SRR27406227; RB325; SRR27406226; SRR27421742; S0921; RB327; S0605; SRR27406221; S2797; S1407; S0762; S3139; S2128; S1878; S4218; S0558,1,Descurainieae,TRUE
TRIBE,Dontostemoneae,5985,3,3,1,SRR8528339; S1188; S1187,1,Dontostemoneae,TRUE
TRIBE,Erysimeae,4316,227,227,1,S2110; S2096; S2018; S2782; S2102; S2491; S4183; S3607; S2497; S2558; S3964; S2671; S4253; S2648; S3450; S3946; S4245; S4243; S2265; S3226; S2567; S2578; S3232; S3299; S3986; S3990; S3553; S3591; S2685; S3942; S4229; S3988; S3555; S4227; S3312; S3583; S2571; S4225; S3452; S3445; S2803; S4223; S2624; S2717; S3282; S2772; S3242; S2178; S2182; S3827; S3966; S3789; S2666; S3970; S3599; S3962; S3272; S3968; S3495; S3405; S4377; S3688; RB958; S3944; S3291; SRR7223704; S3371; SRR7223710; SRR7223703; S4257; S2114; S2040; S3522; S3294; SRR11119231; SRR11119228; SRR11119232; S3251; S1326; RB35; S3269; S0475; S1362; S0786; S3431; S0607; S0862; S3332; S3308; S4040; S2195; S2652; S2698; S3491; S2597; S2013; S4314; S3463; S3548; S2587; S3443; S2645; S3424; S3461; S2192; S3053; S3467; S3387; S3390; S4291; S2734; S3254; S2397; S2157; S2663; S3048; S3197; SRR28374732; S0476; S3204; S2008; S0984; S0474; S0473; S2186; S2108; S3938; S2098; S2005; S3455; S1217; S3918; S2012; S3475; S2311; S2076; S1954; S3245; S2258; S3318; S3220; S3276; S3507; S2112; S2065; S2565; S3690; S3511; S3994; S2017; S3625; S2396; S2730; S2048; S2631; S0585; S3266; S3305; S3229; S3257; S3216; S0923; S3279; S3263; S3834; S2493; S3260; S2106; S4036; S1305; S4308; S4091; S3504; S0472; S1938; SRR8528340; S0986; S1364; S1358; S3248; S3325; S3285; S2796; S2117; S1338; S4200; S3568; S2037; S2495; S2290; S3505; S3825; S3538; S3288; S3315; S1330; S2072; S2786; S3972; S3273; S3497; S2737; S0850; S3940; S3948; S3393; S3458; S1377; S0878; S2078; S3223; S2592; S2100; S2501; S4186; S3061; S3811; S2061; S3533; S3597; S3356; S2104; S3714; S3722; HEID504021; S2115; S0055,1,Erysimeae,TRUE
